title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
IN GUTER GESELLSCHAFT - Doppelhaushälfte mit Garage und großem Garten am Schlaufenglan!,330.000 €,"66606 Sankt Wendel, Sankt Wendel (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","7,5",177 m²,749 m²,1.864 €/m²,Einfamilienhaus (freistehend),107 m²,01.10.2024,5,1,Garage,"3,57% Käuferprovision inkl. 19% MwSt. fällig bei Kaufvertragsabschluss",{}
Toplage von Dudweiler: Mehrfamilienhaus Liegenschaft mit Potenzial in Uni-Nähe,555.000 €,"Dudweiler (Ortsteil), 66125 Saarbrücken
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","15,5",607 m²,1 m²,914 €/m²,Mehrfamilienhaus,nil,nil,nil,nil,8 Stellplätze,"7,14% inklusive MwSt.","{'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Wohnhaus in Lebach-Steinbach mit Garten und viel Platz für die Familie zu verkaufen,195.000 €,"Bachstraße 36,
66822 Lebach, Saarlouis (Kreis)",5,131 m²,378 m²,1.489 €/m²,nil,nil,nach Vereinbarung,3,2,Außenstellplatz,Nein,"{'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Offen für Angebote: 5.0-Zimmer Haus in Schwalbach,218.000 €,"66773 Schwalbach, Saarlouis (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,150 m²,900 m²,1.453 €/m²,nil,nil,nil,nil,nil,nil,nil,{}
Charmanter Umbau alter Scheune zum Reihenhaus mit Garten,269.000 €,"66265 Heusweiler, Stadtverband Saarbrücken (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,170 m²,232 m²,1.582 €/m²,Reihenmittelhaus,170 m²,nil,3,2,4 Garagen,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Schönes 1-2-Familienhaus in 66386 IGB OT - sofort frei,367.000 €,"66386 Sankt Ingbert, Saarpfalz-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",10,223 m²,925 m²,1.646 €/m²,Einfamilienhaus (freistehend),nil,27.5.2024,6,3,nil,Nein,"{'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Ein-Zweifamilienhaus in ruhiger Wohnlage lädt ein zum modernen wohnen,225.000 €,"Wecklinger Strasse 15,
66440 Blieskastel, Saarpfalz-Kreis",8,200 m²,733 m²,1.125 €/m²,Mehrfamilienhaus,200 m²,15.6.2024,6,2,1 Stellplatz,Nein,"{'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"MEHRFAMILIEN-WOHNHAUS, 6 WOHNUNGEN, RUHIGE NEBENSTRASSE, IN GROSSROSSELN",449.000 €,"66352 Großrosseln, Stadtverband Saarbrücken (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",20,478 m²,1.392 m²,939 €/m²,Mehrfamilienhaus,125 m²,SOFORT,12,6,nil,"3,57%","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-vermietet-label': ''}"
"Denkmalgeschütztes Schmuckstück im Herzen von St. Arnual""",262.500 €,"St. Arnual, 66119 Saarbrücken
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,110 m²,100 m²,2.386 €/m²,Einfamilienhaus (freistehend),42 m²,nach Absprache,2,2,nil,"3,57 % inkl. ges. MwSt.",{}
Ideales Einfamilienhaus für fleißige Handwerker in Altenkessel,119.000 €,"Altenkessel, 66126 Saarbrücken
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,95 m²,371 m²,1.253 €/m²,Doppelhaushälfte,nil,ab sofort,3,1,nil,"3,57 % inkl. MwSt.",{}
moderne Doppelhaushälfte mit traumhaftem Garten und Dachterasse in Perl,700.000 €,"66706 Perl, Merzig-Wadern (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,149 m²,274 m²,4.698 €/m²,Doppelhaushälfte,79 m²,nil,4,3,1 Garage,"3,57 % inkl. ges. MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
freistehendes Einfamilienhaus in Sulzbach-Altenwald,169.000 €,"66280 Sulzbach/Saar, Stadtverband Saarbrücken (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,100 m²,441 m²,1.690 €/m²,Einfamilienhaus (freistehend),nil,sofort,nil,nil,3 Stellplätze,"3,57 % inkl. gesetzl. MwSt.",{}
"Sbr-Ensheim Neubau, Komfortabeles 1 FamHs mit ELW",1.500.000 €,"Ensheim, 66131 Saarbrücken
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",10,400 m²,2.600 m²,3.750 €/m²,Einfamilienhaus (freistehend),100 m²,nil,3,2,Garage,€53.550,"{'is24qa-gaeste-wc-label': '', 'is24qa-einliegerwohnung-label': ''}"
Freistehendes Einfamilienhaus mit Fernwärmeheizung,82.000 €,"66287 Quierschied, Stadtverband Saarbrücken (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,110 m²,234 m²,745 €/m²,nil,nil,nil,nil,1,nil,"3,57 % inkl. 19 % MwSt.",{}
"EINFAMILIENHAUS, DOPPELHAUSHÄLFTE, SACKGASSE, RUHIGE LAGE IN ALTFORWEILER",249.900 €,"66802 Überherrn, Saarlouis (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,107 m²,381 m²,2.336 €/m²,Einfamilienhaus (freistehend),20 m²,sofort,3,2,1 Garage,"3,57%","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-keller-label': ''}"
"EIN BIS ZWEIFAMILIENHAUS MIT GROSSEM GRUNDSTÜCK UND WEITSICHT, SANIERUNGSBEDÜRFTIG IN GROSSROSSELN",115.000 €,"66352 Großrosseln, Stadtverband Saarbrücken (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",10,"457,8 m²",2.946 m²,251 €/m²,Einfamilienhaus (freistehend),80 m²,SOFORT,8,2,6 Außenstellplätze,"3,57%",{'is24qa-online-besichtigung-moeglich-label': ''}
